titre,auteur,type,genre,annee,serie,volume,dispo
Raboliot,Genevoix Maurice ,Roman,Fiction,,,,1
Une patience d'ange,George Elizabeth ,Roman,Fiction,,,,1
Magnus,Germain Sylvie ,Roman,Fiction,,,,1
Le petit livre des bons mots,Gest Hélène ,Doc,Langues,,,,0
Les caves du Vatican,Gide André,Roman,Classique,,,,1
Si le grain ne meurt,Gide André,Roman,Classique,,,,1
La tragédie du Président,Giesbert Franz-Olivier ,Roman,Histoire,,,,0
Ecrits pacifistes,Giono Jean,Roman,Classique,,,,1
La femme parfaite est une connasse,Girard Anne-Sophie ,Roman,Fiction,,,2,0
La lézarde,Glissant Edouard ,Roman,Fiction,,,,1
Le médecin d'Ispahan,Gordon Noah ,Roman,Fiction,,,,1
Zamour et autres nouvelles,Goyen William ,Roman,Fiction,,,,1
The intelligent investor,Graham Benjamin ,Roman,Étranger,,,,0
Les rivières pourpres,Grangé Jean Christophe ,Roman,Fiction,,,,1
Raising Atlantis,Greanias Thomas ,Roman,Étranger,,,,0
Orient-Express,Greebe Graham ,Roman,Fiction,,,,1
L'agent secret,Greene Graham ,Roman,Polar,,,,0
Un secret,Grimbert Philippe ,Roman,Fiction,,,,1
Le contrat,Grisham John ,Roman,,,,,1
Les poilus,Guéno Jean-Pierre ,Roman,Guerre,,,,0
Le petit livre des gros mits et autres noms d'oiseaux,Guilleron Gilles ,Doc,Langues,,,,0
Angélina,Guilloux Louis ,Roman,Fiction,,,,1
Les choses de la vie,Guimard Paul ,Roman,Fiction,,,,1
Bush contre Saddam,Guisnel Jean ,Roman,Histoire,,,,0
No home,Gyasi Yaa ,Roman,Fiction,,,,0
Mondes frontieres,Haiblum Isidore,Roman,,,,,1
racines,Haley Alex ,Roman,Fiction,,,,1
Amkoullel l'enfant Peul,Hampâté Bâ Amadou ,Roman,Fiction,,,,1
Amkoullel l'enfant Peul,Hampâté Bâ Amadou ,Roman,Fiction,,,,1
Le livre des étoiles,Hanost Paul ,Roman,SF,,,,1
Mémoires d'un poilu breton,Harel Ambroise ,Roman,Guerre,,,,0
Une brève Histoire du temps,Hawking Stephen ,Doc,Physique,,,,0
L'homme qui vendit la Lune,Heinlein Robert ,Roman,SF,,,,1
Les orphelins du ciel,Heinlein Robert ,Roman,SF,,,,1
Les vertes collines de la Terre,Heinlein Robert ,Roman,SF,,,,1
rencontre du deuxième type,Heller Jane ,Roman,Fiction,,,,1
La communauté des soeurs,Herbert Brian et Anderson Kevin,Roman,SF,2012,Dune les origines,1,1
Et l'homme créa un dieu,Herbert Frank ,Roman,SF,,,,1
L'empereur-dieu de dune,Herbert Frank ,Roman,SF,,,,1
Les animaux de justice,Higon Albert ,Roman,SF,,,,1
Histoires abominables,Hitchcock Alfred ,Roman,Polar,,,,0
Le poison de la vengeance,Hobb Robin,Roman,SF,,,,1
La chute du zeppelin à la nuit tombée,Hrbek Greg ,Roman,Fiction,,,,1
Les châtiments,Hugo Victor,Roman,Classique,,,,0
Les contemplations,Hugo Victor,Roman,Classique,,,,1
Le dernier jour d'un condamné,Hugo Victor,Roman,Classique,,,,1
Dissertation sur les passions,Hume,Roman,,,,,1
Coups sur coups,Hurley Graham ,Roman,Polar,,,,0
Larousse des vins,Inconu,Doc,,,,,0
Monet,Inconu,Doc,Peinture,,,,0
Turner,Inconu,Doc,Peinture,,,,0
Un grand week end à St Petersbourg,Inconu,Doc,Tourisme,,,,0
Van Gogh,Inconu,Doc,Peinture,,,,0
Omaha,Inconu,Doc,Histoire,,,,0
Mystère au lac du lion,Innes Hammond,Roman,,,,,1
Images de France,Internationaux,Doc,Géographie,,,,0
La France en souvenirs,Internationaux,Doc,Géographie,,,,0
Une veuve de papier,Irving John ,Roman,Polar,,,,0
Auprès de moi toujours,Ishiguro Kazuo ,Roman,Fiction,,,,1
La citadelle du chaos,Jackson Steve ,Roman,SF,,,,1
La vie quotidienne dans la place de vérité,Jacq Christian ,Album,Histoire,,,,0
La pierre de lumière,Jacq Christian ,Roman,Fantastique,,,,0
Sphinx,Jacq Christian ,Roman,Polar,,,,0
Brève Histoire de 7 meurtres,James Marlon ,Roman,Polar,,,,0
L'ile des gauchers,Jardin Alexandre ,Roman,Fiction,,,,1
Les papiers d'Aspern,Jaymes Henry ,Roman,Étranger,,,,0
La passion d'enseigner,Jean Georges ,Doc,,,,,0
Le temps incertain,Jeury Michel ,Roman,SF,,,,1
Paulina 1880,Jouve Pierre Jean ,Roman,Fiction,,,,1
Le français correct,Julaud Jean Joseph ,Doc,Langues,,,,0
Le château,Kafka Franz,Roman,Classique,,,,1
Le procès,Kafka Franz,Roman,Classique,,,,0
Blues à Cap Cod,Kamprecos Paul ,Roman,Polar,,,,0
Le songe de Kronos,Karrel Peter ,Roman,SF,,,,1
La petite angleterre,Karystiani Ioanna ,Roman,Fiction,,,,1
L'analyste,Katzenbach John ,Roman,Polar,,,,0
Seul dans la spendeur,Keats John,Roman,Classique,,,,1
